Date;Heure;Score;Score max;Essai;;;;;;;;;;;;MOY score;Entendu score;temps jeu;Nombre essai;Temps moyen essai (secondes) 
23/07/2023;00:05:44;73;109;120;;;;;;;;;;;;;;;;
23/07/2023;00:05:47;108;109;121;;;;;;;;;;;;;;;;
23/07/2023;00:05:50;72;109;122;;;;;;;;;;;;;;;;
23/07/2023;00:05:52;72;109;123;;;;;;;;;;;;;;;;
23/07/2023;00:05:54;41;109;124;;;;;;;;;;;;;;;;
23/07/2023;00:05:56;82;109;125;;;;;;;;;;;;;;;;
23/07/2023;00:05:59;88;109;126;;;;;;;;;;;;;;;;
23/07/2023;00:06:01;86;109;127;;;;;;;;;;;;;;;;
23/07/2023;00:06:03;44;109;128;;;;;;;;;;;;;;;;
23/07/2023;00:06:04;54;109;129;;;;;;;;;;;;;;;;
23/07/2023;00:06:05;41;109;130;;;;;;;;;;;;;;;;
23/07/2023;00:06:07;54;109;131;;;;;;;;;;;;;;;;
23/07/2023;00:06:08;46;109;132;;;;;;;;;;;;;;;;
23/07/2023;00:06:10;57;109;133;;;;;;;;;;;;;;;;
23/07/2023;00:06:11;48;109;134;;;;;;;;;;;;;;;;
23/07/2023;00:06:12;39;109;135;;;;;;;;;;;;;;;;
23/07/2023;00:06:13;30;109;136;;;;;;;;;;;;;;;;
23/07/2023;00:06:15;53;109;137;;;;;;;;;;;;;;;;
23/07/2023;00:06:17;80;109;138;;;;;;;;;;;;;;;;
23/07/2023;00:06:19;68;109;139;;;;;;;;;;;;;;;;
23/07/2023;00:06:21;70;109;140;;;;;;;;;;;;;;;;
23/07/2023;00:06:22;50;109;141;;;;;;;;;;;;;;;;
23/07/2023;00:06:24;69;109;142;;;;;;;;;;;;;;;;
23/07/2023;00:06:28;93;109;143;;;;;;;;;;;;;;;;
23/07/2023;00:06:29;63;109;144;;;;;;;;;;;;;;;;
23/07/2023;00:06:32;70;109;145;;;;;;;;;;;;;;;;
23/07/2023;00:06:35;96;109;146;;;;;;;;;;;;;;;;
23/07/2023;00:06:36;55;109;147;;;;;;;;;;;;;;;;
23/07/2023;00:06:39;84;109;148;;;;;;;;;;;;;;;;
23/07/2023;00:06:41;62;109;149;;;;;;;;;;;;;;;;
23/07/2023;00:06:42;55;109;150;;;;;;;;;;;;;;;;
23/07/2023;00:06:44;60;109;151;;;;;;;;;;;;;;;;
23/07/2023;00:06:46;71;109;152;;;;;;;;;;;;;;;;
23/07/2023;00:06:49;74;109;153;;;;;;;;;;;;;;;;
23/07/2023;00:06:52;77;109;154;;;;;;;;;;;;;;;;
23/07/2023;00:06:55;96;109;155;;;;;;;;;;;;;;;;
23/07/2023;00:06:57;67;109;156;;;;;;;;;;;;;;;;
23/07/2023;00:06:57;7;109;157;;;;;;;;;;;;;;;;
23/07/2023;00:06:59;67;109;158;;;;;;;;;;;;;;;;
23/07/2023;00:07:00;45;109;159;;;;;;;;;;;;;;;;
23/07/2023;00:07:02;57;109;160;;;;;;;;;;;;;;;;
23/07/2023;00:07:02;14;109;161;;;;;;;;;;;;;;;;
